Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str
Servientrega Dirección General,4.610147899999999,-74.10293709999999,1155,"Cl. 6 #34a-11, Bogotá",4.0,3,479.3824,"finance,food,hospital,health,sublocality_level_1"
Servientrega Aeropuerto El Dorado,4.69328,-74.13129599999999,109,"Ac. 26 #22, Bogotá",3.7,3,479.3824,"post_office,finance,store,moving_company,airport"
Servientrega Kennedy,4.623409,-74.1524562,83,"Cl. 37 Sur #78 H - 28, Kennedy, Bogotá, Cundinamarca",3.7,2,286.8876,"clothing_store,store,finance,school,home_goods_store"
Servientrega Siete De Agosto Cra 24,4.658138999999999,-74.070441,57,"Cra. 24 #66-45, Barrios Unidos, Bogotá, Cundinamarca",3.4,2,286.8876,"shopping_mall,lodging,finance,clothing_store,store"
SERVIENTREGA,4.6581833,-74.0704062,49,"Cra. 24, Barrios Unidos, Bogotá",3.5,2,286.8876,"shopping_mall,lodging,finance,car_repair,store"
SERVIENTREGA,4.746837999999999,-74.044623,44,"Cl. 166 #21 - 04, Usaquén, Bogotá, Cundinamarca",3.2,5,933.3508,"church,place_of_worship,finance,health,store"
Servientrega Counter Unicentro,4.702172,-74.041546,40,"Cra. 15 #124-30, Usaquén, Bogotá, Cundinamarca",4.2,6,1295.3598,"cafe,store,food,clothing_store,bank"
Servientrega,4.6927265,-74.1361402,35,"a 106-99,, Av. El Dorado #10653, Bogotá",4.1,4,785.2492,"food,jewelry_store,store,transit_station,airport"
SERVIENTREGA,4.7027789,-74.1001824,34,"Cl. 80 #85-32, Engativá, Bogotá, Cundinamarca",3.8,3,479.3824,"finance,general_contractor,local_government_office,store,real_estate_agency"
Servientrega Kennedy Distrito Militar,4.627187999999999,-74.15078,33,"Cra. 78k #42S33, Kennedy, Bogotá, Cundinamarca",3.6,4,785.2492,"finance,doctor,health,florist,store"
Servientrega Can,4.647834,-74.093751,31,"Cl. 44 #57-56, Teusaquillo, Bogotá, Cundinamarca",4.0,3,479.3824,"atm,bank,finance,drugstore,health"
Servientrega,4.686019,-74.053964,31,"Ac. 100 #19A-73 local 103, Localidad de Chapinero, Bogotá",3.9,3,479.3824,"meal_delivery,lodging,food,pharmacy,health"
Servientrega Principal Bogotá - reclamo de paquetes no entregados,4.6898702,-74.1320951,28,"Av. El Dorado #103-22, Bogotá",1.5,5,933.3508,"airport,atm,finance,church,place_of_worship"
Servientrega,4.7121257,-74.1132575,21,"Local 9, Cra. 102 #80-77, Engativá, Bogotá",3.7,4,785.2492,"food,drugstore,store,health,finance"
Servientrega,4.67824,-74.051419,9,"Cra. 15 #93-15, Localidad de Chapinero, Bogotá, Cundinamarca",4.2,5,933.3508,"lodging,clothing_store,store,food,electronics_store"
Servientrega Internacional Cll 34,4.6236124,-74.0711175,7,"Cl 34 #16-21, Teusaquillo, Bogotá, Cundinamarca",2.1,4,785.2492,"lodging,health,doctor,park,school"
Servientrega Country,4.665680099999999,-74.0577364,5,"Cra. 15 #79-19, Localidad de Chapinero, Bogotá, Cundinamarca",4.0,5,933.3508,"lodging,grocery_or_supermarket,food,store,pharmacy"
Servientrega Principal Efectivo,4.6803183,-74.0475731,3,"Cl. 96 #1255, Bogotá",4.7,4,785.2492,"lodging,insurance_agency,health,liquor_store,store"
Servientrega Mensajería Speedy,4.6990253,-74.05173479999999,2,"Av. Pepe Sierra ##207, Usaquén, Bogotá, Cundinamarca",2.5,5,933.3508,"post_office,finance,health,food,bank"
Servientrega,4.709815,-74.1242613,1,"Cl. 72 #108-11, Bogotá",1.0,5,933.3508,"clothing_store,store,transit_station,food,church"
