Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str
INTERRAPIDISIMO CALI VALLE DEL CAUCA,3.4838582,-76.4975998,1579,"Cl. 66 #1n67, Cali, Valle del Cauca",2.3,3,479.3824,"restaurant,food,church"
INTER RAPIDÍSIMO S.A.,3.4364185,-76.5352343,242,"Cra. 23a #8-34, La Alameda, Cali, Valle del Cauca",3.2,3,479.3824,"lodging,store,restaurant"
Interrapidisimo S.A Empresa de Encomiendas Envios,3.4204087,-76.5423191,240,"Cll 6 #41-51Local 1, Av. Roosevelt #41-1, Cali, Valle del Cauca",3.5,4,785.2492,"lodging,health,car_repair"
interrapidisimo punto 2559,3.4204272,-76.5275953,150,"Cristobal Colon, Cali, Valle del Cauca",4.2,3,479.3824,"store,jewelry_store,veterinary_care"
INTERRAPIDISIMO,3.451091,-76.511431,145,"Cl. 33b #10-28, Comuna 8, Cali, Valle del Cauca",4.1,3,479.3824,"hardware_store,general_contractor,store"
Interrapidisimo S.A. Petecuey 114 B,3.4494617,-76.52729459999999,106,"Cl. 16 #8a-16, Cali, Valle del Cauca",3.3,2,286.8876,"home_goods_store,store,clothing_store"
interrapidisimo sede cc. holguines trade center local 142,3.3719106,-76.5398754,71,"760034, Cali, Valle del Cauca",3.9,2,286.8876,"lodging,laundry,store"
Interrapidisimo Cali Terminal,3.4654671,-76.5210682,71,"Centro Comercial Santiago, Cl. 30 Nte. #2BN-42 Local 102, Bueno Madrid, Cali, Valle del Cauca",4.0,5,933.3508,"gas_station,lodging,real_estate_agency"
Interrapidisimo - Caldas,3.3954637,-76.5466679,70,"Cra. 68 #4-22, Cali, Valle del Cauca",4.0,5,933.3508,"car_repair,electronics_store,store"
Interrapidisimo la Luna,3.4332928,-76.5276557,61,"Cra. 23d #13 21, Junin, Cali, Valle del Cauca",4.5,2,286.8876,"lodging,finance,bank"
Racol Inter Rapidísimo,3.4607729,-76.5124101,54,"Cl. 36 #4-19, COMUNA 4, Cali, Valle del Cauca",3.6,2,286.8876,"store,moving_company,atm"
Interrapidisimo San Andresito del Sur,3.3868387,-76.5392195,34,"Calle 80 #11a Local, P150, Cali, Valle del Cauca",4.5,5,933.3508,"lodging,bank,finance"
INTERRAPIDISIMO CAI BELLAVISTA,4.6438123,-74.1751826,32,"Kr 94c, Cl. 56 Sur #42, Bogotá, Cundinamarca",4.6,3,479.3824,"police,health,store"
INTERRAPIDISIMO CALI SUR,3.4022362,-76.525892,22,"Cra. 56 #17a-39, San Judas Tadeo, Cali, Valle del Cauca",4.2,2,286.8876,"lodging,meal_delivery,bar"
INTER RAPIDISIMO EL CALEÑO,3.4485794,-76.5296587,22,"EL CALEÑO, CARRERA 9 # 13-24 LOCAL 110A CENTRO COMERCIAL, Cali, Valle del Cauca",3.1,2,286.8876,"shopping_mall,store,clothing_store"
INTERRAPIDISIMO Y DHL,4.6194367,-74.18207269999999,22,"A UNA CUADRA DE LA CALI, Dg. 56a Bis Sur #84 C 06 SUR, Bosa, Bogotá, Cundinamarca",4.2,4,785.2492,"hair_care,health,insurance_agency"
Interrapidisimo Melendez,3.3767026,-76.5473287,18,"Cl. 4 #92-22 Local 3, Bajo Jordan, Cali, Valle del Cauca",4.1,3,479.3824,"store,police,finance"
interrapidisimo NUEVA FLORESRTA,3.4496499,-76.5045016,7,"Cl. 44 #2, Comuna 8, Cali, Valle del Cauca",3.0,3,479.3824,"finance,restaurant,food"
Interrapidisimo,3.4294038,-76.52133239999999,2,"Cra. 29 #23-1, Las Acacias, Cali, Valle del Cauca",3.0,2,286.8876,"atm,finance,restaurant"
INTERRAPIDISIMO,3.4515724,-76.5319536,1,"centro herrera, Calle 3á#7-32",1.0,3,479.3824,"lodging,restaurant,food"
