Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str
SERVIENTREGA,3.4601111,-76.5286948,124,"Av. 4 Nte. #19N-26, San Vicente, Cali, Valle del Cauca",3.2,4,785.2492,"spa,lodging,restaurant"
Servientrega Acopio Cra 15 Punto directo,3.4453937,-76.51424240000001,122,"Cra. 15 # 30 a 35, Comuna 8, Cali, Valle del Cauca",3.6,3,479.3824,"store,pharmacy,health"
Servientrega,3.4507861,-76.53194479999999,91,"Cra 6, esquina Calle 12 #11 - 69, COMUNA 3, Cali, Valle del Cauca",4.5,2,286.8876,"bar,lodging,restaurant"
SERVIENTREGA,3.4140575,-76.53293029999999,89,"Local 102, Cl. 13 #44-26, Cali, Valle del Cauca",3.7,3,479.3824,"pharmacy,health,store"
Servientrega Ciudad Jardin,3.3617296,-76.5315528,54,"Cl. 18 #1-5, Cañasgordas, Cali, Valle del Cauca",3.9,6,1295.3598,"lodging,hair_care,finance"
Servientrega - Efecty,3.3695669,-76.52909939999999,53,"Centro Comercial Jardin Plaza, Dentro del Supermercado Jumbo, Cl. 16 #16-200, San Joaquin, Cali, Valle del Cauca",3.5,4,785.2492,"meal_takeaway,restaurant,food"
Servientrega San Fernando,3.4341302,-76.54203319999999,46,"Cl. 4b #27-16, El Sindicato, Cali, Valle del Cauca",3.6,4,785.2492,"lodging,bar,post_office"
Servientrega CANEY,3.3839847,-76.5208719,45,"Cali, Valle del Cauca",4.0,5,933.3508,"store,drugstore,health"
Servientrega,3.462451,-76.5258575,37,"Av. de las Americas #23N-10, El Piloto, Cali, Valle del Cauca",3.9,5,933.3508,"bakery,restaurant,food"
SERVIENTREGA Centro de Soluciones paseo de la quinta,3.4161798,-76.54802839999999,32,"Centro Comercial Paseo de la Quinta, Cl. 5 #46-83 Local 119C, Cali, Valle del Cauca",3.6,3,479.3824,"travel_agency,car_rental,restaurant"
Servientrega - Sede Colon Plaza,3.4802764,-76.4985641,31,"Centro Comercial Colón Plaza, Cra. 1 Bis #61A-30 Local 88, Barranquilla, Cali, Valle del Cauca",4.2,5,933.3508,"store,finance,bank"
SERVIENTREGA,3.374413,-76.5385209,20,"Centro Comercial 254, Cra. 100 #5-169, Cali, Valle del Cauca",3.4,4,785.2492,"clothing_store,store,jewelry_store"
Servientrega,3.4786186,-76.5172891,19,"Av. 3 Nte. #44N-31, Vipasa, Cali, Valle del Cauca",2.3,5,933.3508,"lodging,post_office,finance"
Servientrega Salomia,3.4671583,-76.4968177,16,"Cra. 3 #57-83, Comuna 5, Cali, Valle del Cauca",4.2,5,933.3508,"local_government_office,finance,hospital"
Servientrega,3.4225715,-76.5417961,15,"Av. Roosevelt #38a- 46, San Fernando, Cali, Valle del Cauca",2.9,2,286.8876,"restaurant,food,post_office"
Servientrega,3.4338576,-76.5279125,14,"Cl. 13 #23C-17, Junin, Cali, Valle del Cauca",3.6,3,479.3824,"lodging,finance,health"
Servientrega,3.4842578,-76.5148612,14,"Cl. 52 Nte. #3AN-15, Vipasa, Cali, Valle del Cauca",2.5,5,933.3508,"gym,health,liquor_store"
Servientrega Av Guadalupe,3.4015757,-76.52445089999999,8,"Cra. 56 #18a-80, Cañaverales, Cali, Valle del Cauca",2.4,3,479.3824,"gym,health,clothing_store"
Servientrega,3.4698895,-76.5278214,8,"Av. 6 Nte. #28N-56, San Vicente, Cali, Valle del Cauca",3.1,3,479.3824,"lodging,post_office,finance"
Servientrega La Flora,3.4867989,-76.525577,3,"Av 6 #22N-45, Cali, Valle del Cauca",3.0,5,933.3508,"car_repair,finance,moving_company"
