Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str
Interrapidisimo Medellin,6.2517497,-75.5604814,443,"Cra. 43 # 56 - 34, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.4,3,479.3824,"lodging,university,school,bar,cafe"
Inter Rapidísimo San Juan,6.2499539,-75.59888029999999,335,"Cl 44 #79 - 141, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3.8,5,933.3508,"locksmith,school,car_repair,electronics_store,store"
Interrapidisimo Medellín. Of. Ppal.,6.2328784,-75.585674,268,"Cl. 30A #65cc-1, Medellín, Belén, Medellín, Antioquia",2.2,4,785.2492,"general_contractor,car_repair,store,veterinary_care,cafe"
"Inter Rapidisimo, Industriales",6.2295716,-75.5730068,237,"Cra. 46 #27-100, El Poblado, Medellín, El Poblado, Medellín, Antioquia",1.6,6,1295.3598,"painter,home_goods_store,store,bank,atm"
"INTER RAPIDISIMO, Belen",6.231456,-75.5976292,213,"Cl. 30 #77-52, Medellín, Belén, Medellín, Antioquia",3.2,5,933.3508,"grocery_or_supermarket,store,food,storage,home_goods_store"
Interrapidísimo Cuarta Brigada,6.261304099999999,-75.5923667,212,"Av. Colombia #76 -129, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3.9,4,785.2492,"lodging,store,health,physiotherapist,laundry"
Interrapidisimo Medellin (Glorieta Santa Gema),6.2384686,-75.60274629999999,126,"Cra. 81 #32 EE - 86, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.0,5,933.3508,"lodging,locksmith,home_goods_store,store,food"
Interrapidisimo perpetuo socorro,6.235849099999999,-75.5745122,104,"Cl 34 #51-25, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.3,3,479.3824,"store,car_repair,travel_agency,health,food"
Interrapidisimo Poblado,6.2118192,-75.5711271,97,"Cl. 11 # 43b- 23, El Poblado, Medellín, El Poblado, Medellín, Antioquia",4.2,6,1295.3598,"lodging,food,home_goods_store,store,bar"
Interrapidisimo Buenos Aires,6.242946799999999,-75.55660739999999,68,"Cl. 49 # 35 - 18, Caicedo, Medellín, Buenos Aires, Medellín, Antioquia",4.2,3,479.3824,"home_goods_store,store,supermarket,grocery_or_supermarket,food"
Interrapidisimo Alfonso Lopez,6.283577999999999,-75.5739943,63,"Cl. 91A # 67a 33, Francisco Zea, Medellín, Castilla, Medellín, Antioquia",4.5,4,785.2492,"gym,health,clothing_store,store,grocery_or_supermarket"
INTERRAPIDISIMO LA 33 - ENVIOS,6.2393695,-75.58371319999999,61,"Av. 33 #65 - 67, Medellín, Belén, Medellín, Antioquia",3.7,4,785.2492,"lodging,electrician,car_repair,store,health"
Interrapidisimo luz del dia lc 7b,6.2486622,-75.57126509999999,34,"Carrera 53 ##47-59 a 47-1, Medellín, Antioquia",4.4,3,479.3824,"lodging,shopping_mall,finance,jewelry_store,store"
Interrapidisimo La Palma,6.2260836,-75.6009389,25,"Cerca al consume de belen, Av. 80 #20a-77, Medellín, Belén, Medellín, Antioquia",4.8,4,785.2492,"clothing_store,store,food,school,health"
INTERRAPIDISIMO SECTOR CHAGUALO,6.2607634,-75.566509,24,"Cl. 62 #51D-31, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",4.1,3,479.3824,"doctor,health,car_repair,store,funeral_home"
INTERRAPIDISIMO SANTA LUCIA - LA FLORESTA,6.2573535,-75.603695,19,"Cl. 47A #87-14, La Floresta, Medellín, La América, Medellín, Antioquia",4.5,4,785.2492,"lawyer,clothing_store,store,food,bar"
INTERRAPIDISIMO UNICENTRO,6.2403276,-75.5882278,17,"Cra. 66AA # 34-41, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.6,3,479.3824,"clothing_store,store,bank,finance,travel_agency"
INTERRAPIDISIMO UNIÓN PLAZA,6.2511332,-75.5668319,15,"Cra. 50 ##52-50, CC Unión Plaza Calle 50, Local 210, Medellín, Antioquia",3.6,4,785.2492,"lodging,real_estate_agency,school,meal_delivery,food"
Interrapidisimo Sede la 30,6.2316264,-75.5782881,10,"Cl. 30 # 53-31, Guayabal, Medellín, Guayabal, Medellín, Antioquia",4.3,1,181.487,"hardware_store,store,car_repair,home_goods_store,transit_station"
interrapidisimo colombia-cundinamarca,6.250461,-75.57028849999999,10,"Cl. 50 #52-71, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.4,3,479.3824,"lodging,store,casino,clothing_store,pharmacy"
