Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str
Servientrega industriales Oficina Principal,6.2202633,-75.57581549999999,2827,"Cra. 48 # 18 - 47, El Poblado, Medellín, El Poblado, Medellín, Antioquia",3.8,6,1295.3598,"finance,post_office,health,store,food"
Servientrega Home Center Los Molinos,6.233524999999999,-75.60458,106,"Cl. 32 #82, Medellín, Belén, Medellín, Antioquia",4.1,4,785.2492,"shopping_mall,park,store,food,clothing_store"
Servientrega Buenos Aires,6.2430954,-75.5580507,103,"Cl. 49 #36-40, Medellín, Buenos Aires, Medellín, Antioquia",3.6,3,479.3824,"lodging,post_office,finance,bank,florist"
Servientrega La Setenta,6.245317,-75.58981419999999,79,"Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.2,5,933.3508,"pharmacy,store,health,lodging,post_office"
Servientrega El Rodeo (Carulla Cristo rey),6.2051826,-75.5879253,58,"Calle 6 #52-92, Guayabal, Medellín, Guayabal, Medellín, Antioquia",4.2,2,286.8876,"finance,food,clothing_store,store,general_contractor"
Servientrega Unicentro,6.241369799999999,-75.5863731,32,"Tv. 34B #66-10, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3.9,4,785.2492,"lodging,clothing_store,store,food,health"
Servientrega sector guayabal ll,6.2009925,-75.5847684,25,"Cl. 8 Sur, Cra. 50FF #13 50ff-167 a, Medellín, Antioquia",4.3,3,479.3824,"store,health,shopping_mall,sublocality_level_1,sublocality"
Servientrega Colombia,6.2561878,-75.5818614,22,"CC Los Sauces, Cra 66 #49-20, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",2.5,2,286.8876,"jewelry_store,store,finance,atm,food"
Servientrega Laureles,6.240399,-75.5968891,22,"Cra. 76 #33a83, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3.3,5,933.3508,"bank,finance,post_office,real_estate_agency,dentist"
Servientrega,6.246321,-75.57148839999999,18,"Cl. 45 #45-02, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.2,3,479.3824,"finance,liquor_store,store,shoe_store,home_goods_store"
Servientrega,6.292433099999999,-75.5717767,16,"Cl. 97 #68-10, Castilla, Medellín, Castilla, Medellín, Antioquia",3.0,4,785.2492,"bank,finance,post_office,home_goods_store,store"
servientrega,6.236983599999999,-75.5727612,13,"Av. Palacé #35-78, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.6,3,479.3824,"car_repair,finance,store,clothing_store,food"
SERVIENTREGA patio bonito,6.2097457,-75.5762444,13,"Cra. 47 #7-72, El Poblado, Medellín, El Poblado, Medellín, Antioquia",1.9,2,286.8876,"store,post_office,finance,health,furniture_store"
Servientrega,6.26073,-75.5703427,10,"Cra. 56 #61-30, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",1.9,3,479.3824,"store,moving_company,storage,food,meal_delivery"
Servientrega Est. Parque El Berrio,6.249909,-75.56849299999999,8,"Cra. 51 #50-22, La Candelaria, Bello, Medellín, La Candelaria, Medellín, Antioquia",3.8,6,1295.3598,"lodging,tourist_attraction,park,store,post_office"
Servientrega Caribe,6.273087599999999,-75.572065,6,"Cl. 75 #72B-84, Medellín, Castilla, Medellín, Antioquia",4.0,2,286.8876,"finance,general_contractor,storage,local_government_office,food"
Servientrega,6.233627299999999,-75.5951573,5,"Dg 74B, Medellín, Belén, Medellín, Antioquia",4.0,5,933.3508,"gas_station,university,finance,grocery_or_supermarket,car_repair"
SERVIENTREGA palace,6.2505428,-75.56757060000001,3,"Av. Palacé #51-13, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.7,3,479.3824,"lodging,real_estate_agency,school,tourist_attraction,park"
Servientrega av 80,6.2480163,-75.6026461,2,"Av. 80 #42-31, Simón Bolívar, Medellín, La América, Medellín, Antioquia",3.0,3,479.3824,"clothing_store,store,furniture_store,home_goods_store,art_gallery"
Servientrega Avenida El Poblado Cl34,6.2352096,-75.5699929,1,"Cra. 43A #3430, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",1.0,2,286.8876,"travel_agency,clothing_store,store,real_estate_agency,shoe_store"
