Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str,city,main_street,Reviews within 150m,people_per_stratum,avg_people_per_household,population_density,Entertainment,Finance,Health,Services,Shopping,Education,Food
INTERRAPIDISIMO,3.4515724,-76.5319536,1,"centro herrera, Calle 3á#7-32",1.0,3,479.3824,"bar,lodging,food,store,clothing_store",Unknown,1,807,500000,3.3,726,2,0,0,0,10,0,3
Interrapidisimo,3.4294038,-76.52133239999999,2,"Cra. 29 #23-1, Las Acacias, Cali, Valle del Cauca",3.0,2,286.8876,"atm,finance,store,food,home_goods_store",Cali,0,2374,1100000,3.5,1694,0,3,0,3,10,0,3
interrapidisimo,4.6736853,-74.14300279999999,2,"# con Carrera 99, Bogotá",3.0,2,286.8876,"bank,finance,secondary_school,school,drugstore",Bogota,0,345,2800000,3.5,6191,0,3,0,0,0,2,0
INTERRAPIDISIMO ÁLAMOS NORTE,4.7037463,-74.11616169999999,3,"Cl. 72 #100 22, Engativá, Bogotá, Cundinamarca",5.0,3,479.3824,"pharmacy,health,store,food,dentist",Bogota,1,754,1500000,3.3,3127,0,0,15,0,5,0,3
Interrapidisimo,4.7022672,-74.0433946,4,"Local M124, Cl. 124 #15-15, Bogotá",3.0,5,933.3508,"lodging,clothing_store,store,doctor,hospital",Bogota,1,837,200000,2.7,341,0,0,10,0,10,0,0
interrapidisimo NUEVA FLORESRTA,3.4496499,-76.5045016,7,"Cl. 44 #2, Comuna 8, Cali, Valle del Cauca",3.0,3,479.3824,"finance,food,general_contractor,bicycle_store,store",Cali,0,198,500000,3.3,726,0,3,0,0,5,0,3
interrapidisimo colombia-cundinamarca,6.250461,-75.57028849999999,10,"Cl. 50 #52-71, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.4,3,479.3824,"lodging,store,casino,clothing_store,pharmacy",Medellin,0,895,700000,3.3,707,0,0,5,0,10,0,0
Interrapidisimo Sede la 30,6.2316264,-75.5782881,10,"Cl. 30 # 53-31, Guayabal, Medellín, Guayabal, Medellín, Antioquia",4.3,1,181.487,"hardware_store,store,car_repair,home_goods_store,transit_station",Medellin,0,420,400000,3.8,495,0,0,0,3,15,0,0
Interrapidisimo El Lago,4.666545900000001,-74.05963419999999,15,"Cl. 79 #42 # 18, Bogotá",4.6,2,286.8876,"lodging,health,bank,finance,university",Bogota,0,1027,2800000,3.5,6191,0,3,5,0,0,2,0
INTERRAPIDISIMO UNIÓN PLAZA,6.2511332,-75.5668319,15,"Cra. 50 ##52-50, CC Unión Plaza Calle 50, Local 210, Medellín, Antioquia",3.6,4,785.2492,"lodging,real_estate_agency,school,meal_delivery,food",Medellin,0,7288,300000,3.0,283,0,3,0,0,0,2,3
INTER RAPIDISIMO,4.6150131,-74.0888269,16,"Cra. 28a #17-14, Los Mártires, Bogotá",3.9,2,286.8876,"store,finance,clothing_store,department_store,electronics_store",Bogota,0,1182,2800000,3.5,6191,0,3,0,0,20,0,0
INTERRAPIDISIMO UNICENTRO,6.2403243,-75.58829870000001,17,"Cra. 66AA #34-41, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.6,3,479.3824,"clothing_store,store,bank,finance,travel_agency",Medellin,0,441,700000,3.3,707,0,3,0,3,10,0,0
Interrapidisimo Melendez,3.3767026,-76.5473287,18,"Cl. 4 #92-22 Local 3, Bajo Jordan, Cali, Valle del Cauca",4.1,3,479.3824,"store,police,finance,electronics_store,home_goods_store",Cali,0,419,500000,3.3,726,0,3,0,0,15,0,0
INTERRAPIDISIMO SANTA LUCIA - LA FLORESTA,6.2573535,-75.603695,19,"Cl. 47A #87-14, La Floresta, Medellín, La América, Medellín, Antioquia",4.5,4,785.2492,"lawyer,clothing_store,store,food,bar",Medellin,0,400,300000,3.0,283,2,0,0,0,10,0,3
inter rapidisimo,4.6055324,-74.1255723,21,"Av. 1 de Mayo #51F - 47, Puente Aranda, Bogotá",3.8,4,785.2492,"bank,finance,store,hardware_store,bar",Bogota,0,283,800000,3.0,1516,2,3,0,0,10,0,0
