Name,Latitude,Longitude,Number of Reviews,Address,Rating,Estratos,average_inc_us,Types_str,city,main_street,Reviews within 150m,people_per_stratum,avg_people_per_household,population_density,Entertainment,Finance,Food,Health,Services,Shopping,Education
inter rapidisimo,4.6055324,-74.1255723,21,"Av. 1 de Mayo #51F - 47, Puente Aranda, Bogotá",3.8,2,286.8876,"bank,finance,store,hardware_store,bar",Bogota,0,284,2800000,3.5,6191,2,3,0,0,0,10,0
INTERRAPIDISIMO SANTA LUCIA - LA FLORESTA,6.2573535,-75.603695,19,"Cl. 47A #87-14, La Floresta, Medellín, La América, Medellín, Antioquia",4.5,4,785.2492,"lawyer,clothing_store,store,food,bar",Medellin,0,400,300000,3.0,283,2,0,4,0,0,10,0
Interrapidisimo Melendez,3.3767026,-76.5473287,19,"Cl. 4 #92-22 Local 3, Bajo Jordan, Cali, Valle del Cauca",4.1,3,479.3824,"store,police,finance,electronics_store,home_goods_store",Cali,0,419,500000,3.3,726,0,3,0,0,0,15,0
INTERRAPIDISIMO UNICENTRO,6.2403243,-75.58829870000001,17,"Cra. 66AA #34-41, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",4.6,3,479.3824,"clothing_store,store,bank,finance,travel_agency",Medellin,0,441,700000,3.3,707,0,3,0,0,3,10,0
INTER RAPIDISIMO,4.6150131,-74.0888269,16,"Cra. 28a #17-14, Los Mártires, Bogotá",3.9,5,933.3508,"store,finance,clothing_store,department_store,electronics_store",Bogota,0,1182,200000,2.7,341,0,3,0,0,0,20,0
Interrapidisimo El Lago,4.666545900000001,-74.05963419999999,15,"Cl. 79 #42 # 18, Bogotá",4.6,2,286.8876,"lodging,health,bank,finance,university",Bogota,0,1027,2800000,3.5,6191,0,3,0,4,0,0,3
INTERRAPIDISIMO UNIÓN PLAZA,6.2511332,-75.5668319,15,"Cra. 50 ##52-50, CC Unión Plaza Calle 50, Local 210, Medellín, Antioquia",3.6,4,785.2492,"lodging,real_estate_agency,school,meal_delivery,food",Medellin,0,7289,300000,3.0,283,0,3,4,0,0,0,3
Servientrega Belén Rincón,6.2119803,-75.6021228,10,"Cl. 2 #79-13, El Rincon, Medellín, Belén, Medellín, Antioquia",4.7,6,1295.3598,"car_repair,store,storage,school,pharmacy",Medellin,0,166,10000,2.3,7,0,0,0,3,6,5,3
interrapidisimo colombia-cundinamarca,6.250461,-75.57028849999999,10,"Cl. 50 #52-71, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",3.4,3,479.3824,"lodging,store,casino,clothing_store,pharmacy",Medellin,0,895,700000,3.3,707,0,0,0,4,0,10,0
Interrapidisimo Sede la 30,6.2316264,-75.5782881,10,"Cl. 30 # 53-31, Guayabal, Medellín, Guayabal, Medellín, Antioquia",4.3,1,181.487,"hardware_store,store,car_repair,home_goods_store,transit_station",Medellin,0,420,400000,3.8,495,0,0,0,0,3,15,0
Servientrega,4.67824,-74.051419,9,"Cra. 15 #93-15, Localidad de Chapinero, Bogotá, Cundinamarca",4.2,4,785.2492,"lodging,clothing_store,store,food,electronics_store",Cali,1,1592,200000,3.0,264,0,0,4,0,0,15,0
Servientrega,3.4698895,-76.5278214,8,"Av. 6 Nte. #28N-56, San Vicente, Cali, Valle del Cauca",3.1,5,933.3508,"lodging,post_office,finance,electronics_store,store",Cali,1,2885,10000,2.7,12,0,3,0,0,0,10,0
interrapidisimo NUEVA FLORESRTA,3.4496499,-76.5045016,7,"Cl. 44 #2, Comuna 8, Cali, Valle del Cauca",3.0,3,479.3824,"finance,food,general_contractor,bicycle_store,store",Cali,0,198,500000,3.3,726,0,3,4,0,0,5,0
Servientrega Caribe,6.273087599999999,-75.572065,6,"Cl. 75 #72B-84, Medellín, Castilla, Medellín, Antioquia",4.0,2,286.8876,"finance,general_contractor,storage,local_government_office,food",Medellin,1,569,1100000,3.5,1146,0,3,4,0,6,0,0
Servientrega,6.233627299999999,-75.5951573,5,"Dg 74B, Medellín, Belén, Medellín, Antioquia",4.0,5,933.3508,"gas_station,university,finance,car_repair,grocery_or_supermarket",Medellin,0,1347,100000,2.7,81,0,3,4,0,3,0,3
